region_single,year,ongoing_conflicts,unique_dyads,total_events,avg_intensity,incompatibility_mode,intensity_1,intensity_2,type_1,type_2,type_3,type_4,terminated_dyads,term_events,mode_outcome,term_outcome_1.0,term_outcome_2.0,term_outcome_3.0,term_outcome_4.0,term_outcome_5.0,term_outcome_6.0
5,1984,5,8,8,1.375,2.0,5.0,3.0,0.0,0.0,8.0,0.0,8,8,2.0,0,1,0,0,0,0
5,1985,5,7,7,1.4285714285714286,2.0,4.0,3.0,0.0,0.0,7.0,0.0,7,7,,0,0,0,0,0,0
5,1986,5,7,7,1.2857142857142858,2.0,5.0,2.0,0.0,0.0,7.0,0.0,7,7,5.0,0,0,0,0,1,0
5,1987,6,8,8,1.25,2.0,6.0,2.0,0.0,0.0,8.0,0.0,8,8,2.0,0,1,0,0,0,0
5,1988,5,8,8,1.375,2.0,5.0,3.0,0.0,0.0,8.0,0.0,8,8,1.0,1,0,0,0,0,0
5,1989,9,12,12,1.1666666666666667,2.0,10.0,2.0,0.0,1.0,11.0,0.0,12,12,3.0,0,0,2,2,0,0
5,1990,6,9,9,1.1111111111111112,2.0,8.0,1.0,0.0,0.0,9.0,0.0,9,9,1.0,1,1,1,0,0,0
5,1991,5,7,7,1.1428571428571428,2.0,6.0,1.0,0.0,0.0,7.0,0.0,7,7,1.0,1,0,0,1,0,0
5,1992,4,6,6,1.1666666666666667,2.0,5.0,1.0,0.0,0.0,6.0,0.0,6,6,3.0,0,0,1,0,0,0
5,1993,3,5,5,1.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0,5,5,5.0,0,0,0,0,1,0
5,1994,4,5,5,1.2,2.0,4.0,1.0,0.0,0.0,5.0,0.0,5,5,2.0,0,1,0,0,0,0
5,1995,4,5,5,1.0,2.0,5.0,0.0,0.0,1.0,4.0,0.0,5,5,1.0,2,0,0,0,0,0
5,1996,3,4,4,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,4,4,5.0,0,0,0,0,1,0
5,1997,2,3,3,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,3,3,,0,0,0,0,0,0
5,1998,2,3,3,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,3,3,,0,0,0,0,0,0
5,1999,2,3,3,1.3333333333333333,2.0,2.0,1.0,0.0,0.0,3.0,0.0,3,3,5.0,0,0,0,0,1,0
5,2000,1,3,3,1.3333333333333333,2.0,2.0,1.0,0.0,0.0,3.0,0.0,3,3,5.0,0,0,0,0,1,0
5,2001,2,3,3,1.6666666666666667,2.0,1.0,2.0,0.0,0.0,2.0,1.0,3,3,,0,0,0,0,0,0
5,2002,2,4,4,1.25,2.0,3.0,1.0,0.0,0.0,3.0,1.0,4,4,5.0,0,0,0,0,1,0
5,2003,2,3,3,1.3333333333333333,2.0,2.0,1.0,0.0,0.0,2.0,1.0,3,3,,0,0,0,0,0,0
5,2004,3,6,6,1.1666666666666667,2.0,5.0,1.0,0.0,0.0,5.0,1.0,6,6,5.0,0,0,0,1,2,0
5,2005,2,3,3,1.3333333333333333,2.0,2.0,1.0,0.0,0.0,2.0,1.0,3,3,,0,0,0,0,0,0
5,2006,2,3,3,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3,3,5.0,0,0,0,0,1,0
5,2007,3,3,3,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3,3,,0,0,0,0,0,0
5,2008,3,4,4,1.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,4,4,5.0,0,0,0,0,1,0
5,2009,3,3,3,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3,3,,0,0,0,0,0,0
5,2010,3,4,4,1.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,4,4,2.0,0,1,0,0,1,0
5,2011,2,2,2,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2,2,,0,0,0,0,0,0
5,2012,2,2,2,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2,2,,0,0,0,0,0,0
5,2013,2,3,3,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3,3,5.0,0,0,0,0,1,0
5,2014,2,2,2,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2,2,,0,0,0,0,0,0
5,2015,2,3,3,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3,3,1.0,1,0,0,0,0,0
5,2016,2,2,2,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2,2,2.0,0,1,0,0,0,0
5,2017,1,1,1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,5.0,0,0,0,0,1,0
5,2018,1,2,2,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2,2,,0,0,0,0,0,0
5,2019,2,3,3,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3,3,5.0,0,0,0,0,2,0
5,2020,1,1,1,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,,0,0,0,0,0,0
5,2021,1,2,2,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2,2,,0,0,0,0,0,0
5,2022,1,2,2,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2,2,,0,0,0,0,0,0
5,2023,1,2,2,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2,2,,0,0,0,0,0,0
